"id","user_id","lobby_wait_id"
7011,3796,18101
7012,3768,18104
7013,3806,18106
7014,3775,18109
7016,3784,18112
7017,3771,18115
7018,3781,18116
7020,3798,18119
7021,3805,18122
7022,3786,18124
7023,3767,18125
7024,3791,18126
7025,3795,18129
7027,3799,18134
7028,3785,18135
7029,3769,18138
7030,3777,18139
7031,3789,18140
7032,3772,18143
7033,3768,18145
7034,3776,18147
7035,3793,18149
7037,3768,18154
7038,3802,18156
7039,3801,18157
7040,3773,18159
7041,3783,18161
7042,3784,18163
7043,3795,18167
7044,3797,18166
7045,3788,18169
7046,3778,18171
7047,3806,18173
7048,3798,18175
7049,3800,18177
7050,3777,18181
7051,3774,18180
7052,3770,18184
7053,3790,18186
7054,3785,18187
7055,3799,18190
7056,3792,18193
7057,3774,18192
7058,3801,18195
7059,3787,18197
7060,3802,18200
7061,3797,18201
7062,3803,18202
7063,3791,18205
7064,3804,18207
7065,3773,18210
7066,3792,18212
7067,3769,18213
7068,3798,18215
7069,3772,18216
7070,3775,18219
7071,3774,18221
7073,3780,18227
7074,3770,18226
7075,3794,18230
7076,3807,18231
7077,3805,18234
7078,3799,18237
7079,3785,18236
7080,3790,18240
7081,3771,18243
7082,3796,18242
7083,3776,18245
7084,3767,18247
7085,3787,18250
7086,3801,18251
7087,3781,18254
7088,3795,18256
7089,3772,18257
7090,3788,18258
7091,3783,18261
7092,3773,18263
7093,3791,18266
7094,3775,18267
7095,3803,18270
7096,3767,18274
7097,3780,18272
7098,3790,18276
7099,3786,18279
7100,3797,18282
7101,3792,18283
7102,3777,18285
7103,3805,18286
7104,3787,18289
7105,3796,18290
7106,3802,18293
7108,3774,18297
7109,3770,18298
7110,3806,18301
7111,3769,18302
7112,3797,18303
7113,3803,18307
7114,3784,18304
7115,3788,18311
7116,3789,18313
7117,3790,18315
7118,3809,18316
7119,3805,18319
